Areal Rainfall,obs,month
2008-03,426,3
2008-04,506,4
2008-05,314,5
2008-06,268,6
2008-07,345,7
2008-08,148,8
2008-09,101,9
2008-10,454,10
2008-11,377,11
2008-12,191,12
2009-01,58,1
2009-02,47,2
2009-03,357,3
2009-04,271,4
2009-05,386,5
2009-06,326,6
2009-07,134,7
2009-08,283,8
2009-09,278,9
2009-10,337,10
2009-11,409,11
2009-12,325,12
2010-01,158,1
2010-02,86,2
2010-03,145,3
2010-04,342,4
2010-05,428,5
2010-06,281,6
2010-07,235,7
2010-08,214,8
2010-09,186,9
2010-10,278,10
2010-11,536,11
2010-12,386,12
2011-01,239,1
2011-02,177,2
2011-03,193,3
2011-04,467,4
2011-05,98,5
2011-06,32,6
2011-07,40,7
2011-08,117,8
2011-09,25,9
2011-10,149,10
2011-11,331,11
2011-12,172,12
2012-01,64,1
2012-02,170,2
2012-03,204,3
2012-04,420,4
2012-05,143,5
2012-06,257,6
2012-07,151,7
2012-08,320,8
2012-09,348,9
2012-10,555,10
2012-11,416,11
2012-12,327,12
2013-01,124,1
2013-02,236,2
2013-03,300,3
2013-04,183,4
2013-05,520,5
2013-06,463,6
2013-07,308,7
2013-08,138,8
2013-09,406,9
2013-10,361,10
2013-11,350,11
2013-12,134,12
2014-01,154,1
2014-02,81,2
2014-03,112,3
2014-04,352,4
2014-05,298,5
2014-06,458,6
2014-07,149,7
2014-08,485,8
2014-09,421,9
2014-10,352,10
2014-11,691,11
2014-12,418,12
2015-01,110,1
2015-02,185,2
2015-03,203,3
2015-04,406,4
2015-05,352,5
2015-06,357,6
2015-07,213,7
2015-08,284,8
2015-09,475,9
2015-10,457,10
2015-11,431,11
2015-12,291,12
2016-01,121,1
2016-02,108,2
2016-03,153,3
2016-04,300,4
2016-05,874,5
2016-06,210,6
2016-07,181,7
2016-08,115,8
2016-09,83,9
2016-10,233,10
2016-11,405,11
2016-12,152,12
2017-01,174,1
2017-02,56,2
2017-03,250,3
2017-04,195,4
2017-05,703,5
2017-06,285,6
2017-07,182,7
2017-08,292,8
2017-09,645,9
2017-10,588,10
2017-11,458,11
2017-12,286,12
2018-01,57,1
2018-02,232,2
2018-03,213,3
2018-04,430,4
2018-05,645,5
2018-06,457,6
2018-07,143,7
2018-08,183,8
2018-09,289,9
2018-10,702,10
2018-11,457,11
2018-12,161,12
2019-01,74,1
2019-02,221,2
2019-03,146,3
2019-04,328,4
2019-05,262,5
2019-06,425,6
2019-07,221,7
2019-08,431,8
2019-09,700,9
2019-10,621,10
2019-11,490,11
2019-12,255,12
2020-01,119,1
2020-02,33,2
2020-03,101,3
2020-04,342,4
2020-05,586,5
2020-06,318,6
2020-07,324,7
2020-08,193,8
2020-09,715,9
2020-10,208,10
2020-11,469,11
2020-12,277,12
2021-01,310,1
2021-02,120,2
2021-03,346,3
2021-04,276,4
2021-05,766,5
2021-06,558,6
2021-07,434,7
2021-08,354,8
2021-09,437,9
2021-10,526,10
2021-11,603,11
2021-12,264,12
2022-01,190,1
2022-02,152,2
2022-03,192,3
2022-04,438,4
2022-05,911,5
2022-06,291,6
2022-07,247,7
2022-08,413,8
2022-09,271,9
2022-10,796,10
2022-11,351,11
2022-12,360,12
2023-01,212,1
2023-02,217,2
2023-03,350,3
2023-04,350,4
2023-05,479,5
2023-06,669,6
2023-07,276,7
2023-08,189,8
2023-09,1026,9
2023-10,810,10
2023-11,694,11
2023-12,653,12
2024-01,321,1
2024-02,140,2
2024-03,175,3
2024-04,456,4
2024-05,846,5
2024-06,699,6
2024-07,445,7
2024-08,588,8
2024-09,462,9
2024-10,764,10
2024-11,630,11
2024-12,235,12
2025-01,198,1
