Areal Rainfall,obs,month
2008-09,175,9
2008-10,511,10
2008-11,266,11
2008-12,144,12
2009-01,59,1
2009-02,27,2
2009-03,249,3
2009-04,305,4
2009-05,208,5
2009-06,246,6
2009-07,143,7
2009-08,142,8
2009-09,248,9
2009-10,256,10
2009-11,409,11
2009-12,219,12
2010-01,105,1
2010-02,29,2
2010-03,136,3
2010-04,418,4
2010-05,650,5
2010-06,247,6
2010-07,158,7
2010-08,62,8
2010-09,359,9
2010-10,246,10
2010-11,605,11
2010-12,272,12
2011-01,129,1
2011-02,91,2
2011-03,115,3
2011-04,417,4
2011-05,133,5
2011-06,59,6
2011-07,51,7
2011-08,141,8
2011-09,36,9
2011-10,175,10
2011-11,322,11
2011-12,156,12
2012-01,85,1
2012-02,118,2
2012-03,21,3
2012-04,313,4
2012-05,96,5
2012-06,93,6
2012-07,7,7
2012-08,166,8
2012-09,159,9
2012-10,328,10
2012-11,191,11
2012-12,157,12
2013-01,42,1
2013-02,148,2
2013-03,60,3
2013-04,143,4
2013-05,291,5
2013-06,237,6
2013-07,184,7
2013-08,20,8
2013-09,209,9
2013-10,233,10
2013-11,167,11
2013-12,30,12
2014-01,23,1
2014-02,21,2
2014-03,103,3
2014-04,186,4
2014-05,105,5
2014-06,115,6
2014-07,31,7
2014-08,242,8
2014-09,239,9
2014-10,287,10
2014-11,427,11
2014-12,362,12
2015-01,31,1
2015-02,57,2
2015-03,168,3
2015-04,228,4
2015-05,184,5
2015-06,139,6
2015-07,17,7
2015-08,53,8
2015-09,554,9
2015-10,325,10
2015-11,490,11
2015-12,306,12
2016-01,26,1
2016-02,96,2
2016-03,58,3
2016-04,129,4
2016-05,523,5
2016-06,83,6
2016-07,23,7
2016-08,3,8
2016-09,0,9
2016-10,217,10
2016-11,287,11
2016-12,129,12
2017-01,102,1
2017-02,68,2
2017-03,110,3
2017-04,101,4
2017-05,196,5
2017-06,120,6
2017-07,20,7
2017-08,14,8
2017-09,360,9
2017-10,468,10
2017-11,278,11
2017-12,140,12
2018-01,15,1
2018-02,50,2
2018-03,86,3
2018-04,240,4
2018-05,370,5
2018-06,61,6
2018-07,62,7
2018-08,66,8
2018-09,169,9
2018-10,479,10
2018-11,324,11
2018-12,111,12
2019-01,15,1
2019-02,132,2
2019-03,66,3
2019-04,144,4
2019-05,204,5
2019-06,160,6
2019-07,87,7
2019-08,180,8
2019-09,499,9
